# Pipeline Simulation Results
# Input Parameters:
# Pipe Diameter (D): 0.100 m
# Ambient Temperature (T_amb): 4.00 C
# Wall Thickness (th): 0.010000 m
# Wall Thermal Conductivity (k_w): 45.00 W/m·K
# Wall Specific Heat Capacity (cp_w): 500.00 J/kg·K
# Pipe Length (L): 10000 m
# Minimum Time Step (ts_min): 0.027780 h
# Fluid Density (rho_f): 850.00 kg/m³
# Fluid Specific Heat (cp_f): 4180.00 J/kg·K
# Fluid Thermal Conductivity (k_f): 0.600 W/m·K
# Fluid Viscosity (mu_f): 0.004000 Pa·s
# Wall Density (rho_w): 7800.00 kg/m³
# Initial Temperature (T_init): 4.00 C
# Simulation Time Span (t_span): 0.00 to 10.00 h
# External Convection Coefficient (h_ext): 10.00 W/m²·K
# Pipe Wall Roughness (roughness): 0.000046 m
# Pressure Unit: bara
# Temperature Unit: C
# Time Unit: h
# Final Mass Flow Rate (m_dot): 19.55 kg/s
# Final Inlet Temperature (T_in): 30.00 C
# Final Outlet Pressure (p_out): 20.00 bara
#
L (m),PT (bara),TM (C),U (m/s),T_w (C)
0.0000,97.71237,30.00000,2.928451,27.48690
285.7143,95.49202,27.56577,2.928451,27.48690
571.4286,93.27166,25.35944,2.928451,25.28796
857.1429,91.05131,23.35968,2.928451,23.29489
1142.8571,88.83096,21.54715,2.928451,21.48842
1428.5714,86.61060,19.90431,2.928451,19.85108
1714.2857,84.39025,18.41528,2.928451,18.36704
2000.0000,82.16990,17.06566,2.928451,17.02194
2285.7143,79.94954,15.84240,2.928451,15.80277
2571.4286,77.72919,14.73367,2.928451,14.69774
2857.1429,75.50884,13.72874,2.928451,13.69618
3142.8571,73.28848,12.81789,2.928451,12.78838
3428.5714,71.06813,11.99232,2.928451,11.96557
3714.2857,68.84778,11.24405,2.928451,11.21980
4000.0000,66.62742,10.56583,2.928451,10.54386
4285.7143,64.40707,9.95111,2.928451,9.93119
4571.4286,62.18672,9.39394,2.928451,9.37589
4857.1429,59.96636,8.88894,2.928451,8.87258
5142.8571,57.74601,8.43122,2.928451,8.41639
5428.5714,55.52565,8.01635,2.928451,8.00290
5714.2857,53.30530,7.64032,2.928451,7.62814
6000.0000,51.08495,7.29950,2.928451,7.28845
6285.7143,48.86459,6.99058,2.928451,6.98058
6571.4286,46.64424,6.71059,2.928451,6.70152
6857.1429,44.42389,6.45682,2.928451,6.44859
7142.8571,42.20353,6.22680,2.928451,6.21935
7428.5714,39.98318,6.01832,2.928451,6.01156
7714.2857,37.76283,5.82935,2.928451,5.82323
8000.0000,35.54247,5.65808,2.928451,5.65253
8285.7143,33.32212,5.50285,2.928451,5.49782
8571.4286,31.10177,5.36214,2.928451,5.35758
8857.1429,28.88141,5.23461,2.928451,5.23048
9142.8571,26.66106,5.11902,2.928451,5.11528
9428.5714,24.44071,5.01426,2.928451,5.01086
9714.2857,22.22035,4.91930,2.928451,4.91622
10000.0000,20.00000,4.83323,2.928451,4.91622
